Participant,Session,Delay,Environment,Block,Trial,TwoDTrial,Visible,TrialTime,RewardY,RewardX,RewardFound,RewardType
18,Train,Long,3,6,12,0,1,6.535179,NA,NA,1,W
18,Train,Long,3,7,3,0,0,6.288222,NA,NA,1,W
18,Train,Long,3,7,4,0,0,4.79938,NA,NA,1,W
18,Train,Long,3,7,6,0,0,6.681777,NA,NA,1,W
18,Train,Long,3,7,7,0,0,13.52625,NA,NA,1,W
18,Train,Long,3,7,8,0,0,8.676902,NA,NA,1,W
18,Train,Long,3,7,9,0,0,5.504907,NA,NA,1,W
18,Train,Long,3,7,13,0,0,7.370198,NA,NA,1,W
18,Train,Long,3,7,14,0,0,6.605896,NA,NA,1,W
18,Train,Long,3,7,15,0,0,4.769095,NA,NA,1,W
18,Train,Long,3,8,1,0,1,7.582721,NA,NA,1,M
18,Train,Long,3,8,2,0,1,7.595395,NA,NA,1,M
18,Train,Long,3,8,3,0,1,8.974239,NA,NA,1,M
18,Train,Long,3,8,4,0,1,7.054992,NA,NA,1,M
18,Train,Long,3,8,5,0,1,7.544095,NA,NA,1,M
18,Train,Long,3,8,6,0,1,6.740462,NA,NA,1,M
18,Train,Long,3,8,7,0,1,3.653644,NA,NA,1,M
18,Train,Long,3,8,8,0,1,2.662453,NA,NA,1,M
18,Train,Long,3,8,9,0,1,6.70795,NA,NA,1,M
18,Train,Long,3,8,10,0,1,3.521413,NA,NA,1,M
18,Train,Long,3,8,11,0,1,4.782089,NA,NA,1,M
18,Train,Long,3,8,12,0,1,6.03476,NA,NA,1,M
18,Train,Long,3,9,1,0,0,10.35473,NA,NA,1,M
18,Train,Long,3,9,2,0,0,10.46335,NA,NA,1,M
18,Train,Long,3,9,3,0,0,3.565492,NA,NA,1,M
18,Train,Long,3,9,5,0,0,8.671702,NA,NA,1,M
18,Train,Long,3,9,6,0,0,4.311522,NA,NA,1,M
18,Train,Long,3,9,7,0,0,7.290743,NA,NA,1,M
18,Train,Long,3,9,9,0,0,7.253451,NA,NA,1,M
18,Train,Long,3,9,11,0,0,3.737156,NA,NA,1,M
18,Train,Long,3,9,12,0,0,5.189075,NA,NA,1,M
18,Train,Long,3,9,14,0,0,7.225217,NA,NA,1,M
18,Train,Long,3,10,2,0,1,3.095659,NA,NA,1,F
18,Train,Long,3,10,3,0,0,5.13592,NA,NA,1,M
18,Train,Long,3,10,4,0,0,5.870315,NA,NA,1,M
18,Train,Long,3,10,5,0,1,4.654874,NA,NA,1,W
18,Train,Long,3,10,7,0,0,8.882753,NA,NA,1,F
18,Train,Long,3,10,8,0,1,4.932264,NA,NA,1,M
18,Train,Long,3,10,9,0,0,6.855674,NA,NA,1,F
18,Train,Long,3,10,11,0,0,8.09087,NA,NA,1,F
18,Train,Long,3,10,14,0,0,6.052575,NA,NA,1,W
18,Train,Long,3,10,17,0,0,9.424364,NA,NA,1,W
18,Train,Long,3,10,19,0,0,6.116335,NA,NA,1,W
18,Train,Long,3,10,20,0,0,6.574757,NA,NA,1,M
18,Train,Long,3,10,21,0,0,4.433199,NA,NA,1,M
18,Train,Long,3,10,22,0,0,10.80863,NA,NA,1,F
